date,log_return,vol_20,garch_vol_daily,garch_vol_annual
2018-03-29,0.0180763741986234,0.2712712676460729,0.014983901719004853,0.2378620657075204
2018-04-02,-0.0194662284876777,0.2785940858268382,0.015317345706080595,0.24315532490335387
2018-04-03,0.0136294586112281,0.2772931731302187,0.016004973111894905,0.2540710715660968
2018-04-04,0.0150692757174947,0.2841156794750937,0.015739004275907333,0.24984894718699815
2018-04-05,0.0079867611698708,0.286119946796964,0.015638174860433677,0.24824832983789835
2018-04-06,-0.0252536387240935,0.2984154082287019,0.015048807305114953,0.23889240994479766
2018-04-09,0.0119369042333295,0.2810689606699123,0.01664770591004844,0.2642741384263704
2018-04-10,0.0189319727399856,0.2919870457045668,0.016165736026604486,0.2566231037202774
2018-04-11,-0.0169412020164486,0.2946683197602264,0.016395925438816936,0.2602772473552031
2018-04-12,0.0245559014629753,0.3076635372844248,0.0165852009598182,0.26328190310225225
2018-04-13,-0.0274528797700505,0.3215938718022874,0.017450810727094358,0.2770230321620995
2018-04-16,-0.0008162895560062,0.3213083664536926,0.018855379193953206,0.2993198653381302
2018-04-17,0.0,0.320707769763571,0.017762988016977697,0.28197869300606015
2018-04-18,-0.0081082756435832,0.3212417300338937,0.016777472921031572,0.2663341258630197
2018-04-19,0.0217163800171088,0.3323652102131885,0.01615995478112138,0.25653132929337835
2018-04-20,-0.0022402446754438,0.2945538061652796,0.016726678680027758,0.26552779228463746
2018-04-23,-0.0048561246509638,0.2767639895680286,0.015882377061750382,0.25212491960368955
2018-04-24,-0.0046986622995226,0.2559570022334064,0.015212770247479477,0.24149524096315933
2018-04-25,-0.0038112568820204,0.2458298516021873,0.014616589362656883,0.2320311628172532
2018-04-26,0.000999591159609,0.2456653032477733,0.014059028089035785,0.22318015199316202
2018-04-27,-0.0063781537407533,0.2382965011135878,0.013482311732338525,0.214025063652097
2018-04-30,-0.0056833959930661,0.2283786188603054,0.013188642895784424,0.20936321539610606
2018-05-01,0.0,0.2229910812621473,0.01289633490273054,0.2047229698609642
2018-05-02,-0.0079372820953142,0.2168959791550518,0.012465388151499768,0.19788190226855717
2018-05-03,-0.0063208985317419,0.2146152398093669,0.012420132779552628,0.19716349551058598
2018-05-04,0.0110354901163322,0.2009521779830996,0.012272003777019152,0.19481202049462817
2018-05-07,0.0086318258630438,0.198610891278624,0.012346391208385033,0.19599288435900622
2018-05-08,0.0147034778167535,0.1936374849816771,0.012230735035707206,0.1941568995360358
2018-05-09,0.0215694636633509,0.1989238794859145,0.012671861458299263,0.20115956440154478
2018-05-10,0.0077295070822676,0.1809244873094053,0.013934279612667504,0.2211998313237339
2018-05-11,-0.0037694543865707,0.1493330425591539,0.013546874639964578,0.21504996803708362
2018-05-14,0.0003512469302006,0.1491410823708562,0.013120766630538613,0.2082857130895204
2018-05-15,-0.0076676002504967,0.1527048217848353,0.012659464581056663,0.2009627700762385
2018-05-16,0.0027388805388333,0.1486767054726958,0.012565494745664174,0.19947104518509728
2018-05-17,-0.0033583769965413,0.129551077771603,0.012185453757458766,0.19343808152828085
2018-05-18,-0.0163330865473768,0.1425823842680713,0.011923187321305095,0.18927473092446997
2018-05-21,0.0091365737686622,0.1450895709126537,0.012876819720190301,0.2044131759422152
2018-05-22,0.007639049405842,0.1457813777232765,0.012716946180212525,0.20187526217421076
2018-05-23,-0.0046119815673249,0.1461709952895902,0.012488970865261963,0.1982562662436859
2018-05-24,-0.0112641992007965,0.152647945737807,0.012238332031768835,0.19427749810977704
2018-05-25,-0.0051376921339742,0.1519674683580699,0.012521404724231553,0.19877113779303596
2018-05-29,-0.0436839388615588,0.2181631099332574,0.01229218466798486,0.195132382207014
2018-05-30,0.0225882293739631,0.2341354337839866,0.018662391324958883,0.29625627789366243
2018-05-31,-0.0124444399434581,0.236644574142867,0.018900638412385283,0.3000383331571568
2018-06-01,0.0129058009666358,0.2401054766450787,0.01830947448848119,0.2906538967968167
2018-06-04,0.0004611482673376,0.2368860164177283,0.017683642766699207,0.28071912620635375
2018-06-05,-0.0056405901088864,0.2354084889920559,0.016704343788577172,0.26517323687461025
2018-06-06,0.0230991021850884,0.244410919702185,0.015971024332724338,0.2535321514040994
2018-06-07,0.003979024964098,0.2311668476042852,0.01675603968669547,0.26599388381594913
2018-06-08,0.0027939272827339,0.2293047449996941,0.01590392861007304,0.25246703982707036
2018-06-11,-0.0025232058083556,0.2291773684592171,0.015127053641077772,0.24013453202055543
2018-06-12,-0.005791347287876,0.2296099037229507,0.01447012508433381,0.2297061144788688
2018-06-13,-0.0019985471768425,0.2285204368660553,0.014014973870410263,0.22248081295304362
2018-06-14,-0.0177986349939494,0.2351519496080794,0.013477563064948472,0.21394968089425873
2018-06-15,-0.0012040940648045,0.235159734018009,0.014305174319819557,0.22708760227002064
2018-06-18,0.0025916341791919,0.2297036795233419,0.013717382916073568,0.21775670300745997
2018-06-19,-0.0058406507295419,0.226772714721382,0.01319165921940137,0.20941109804909083
2018-06-20,-9.29843322069454e-05,0.2240153142088549,0.012907423629582889,0.20489899794261004
2018-06-21,-0.0002790048843953,0.2239965486053909,0.012475875443873019,0.19804838287383345
2018-06-22,-0.0165060485707494,0.2275348563304957,0.012101028378386195,0.19209787018407057
2018-06-25,-0.009119470439537,0.2285775972884351,0.013040105952203753,0.20700526451678553
2018-06-26,0.0006677796575364,0.1698393810174858,0.012998773347791483,0.20634912976290465
2018-06-27,-0.0155697522939736,0.1543178901421637,0.012551424041523348,0.19924767968152812
2018-06-28,0.0162370863194065,0.1629386136756516,0.013271746187734197,0.2106824392578854
2018-06-29,-0.0069813318505531,0.1555837314602458,0.013696617207748608,0.21742705760730427
2018-07-02,0.0084098354980724,0.1597379561700176,0.013409568720173825,0.21287030413326374
2018-07-03,-0.0140881145536787,0.1653046572089606,0.013129638211950637,0.20842654507843286
2018-07-05,0.0010611104068031,0.137011225692065,0.013559273838009346,0.21524679920398218
2018-07-06,0.0032726951916938,0.1365491770413367,0.013042576037783417,0.20704447590975056
2018-07-09,0.0304745831112657,0.1807086398950691,0.012610826970894504,0.200190671951117
2018-07-10,-0.0061711275788081,0.1813773008987937,0.015455537447879024,0.24534905079560285
2018-07-11,-0.0021595238663403,0.1808107627282097,0.014895868391474826,0.2364645799571407
2018-07-12,0.0043143942368819,0.1820819949395127,0.01425725177861921,0.22632685551275844
2018-07-13,-0.0045964153903375,0.1721069355622181,0.013698956744915359,0.21746419660846156
2018-07-16,0.0389096745349677,0.2223584428954001,0.013286756650858038,0.21092072297282294
2018-07-17,-0.0007237199519794,0.2223999429363727,0.017673258028676676,0.2805542736009247
2018-07-18,0.009278092048638,0.2226520770822529,0.01670321072307408,0.2651552500173682
2018-07-19,-0.0148137475476128,0.2303262030755511,0.016050379727400758,0.2547918792411305
2018-07-20,0.0125696821563547,0.233809326619366,0.016068342009390512,0.2550770216278751
2018-07-23,0.0184308293383504,0.2305476191125985,0.01570936154571923,0.24937838343344587
2018-07-24,0.0070329960222667,0.2259322119933738,0.015959393222136523,0.2533475132475783
2018-07-25,0.0089827491027217,0.2260979368218453,0.015289199501290185,0.24270851775399954
2018-07-26,-0.0028691929434191,0.2152348478545582,0.01479483924311823,0.23486079194681947
2018-07-27,0.0102218492243468,0.2122294847990397,0.014186133592415799,0.2251978893064292
