date,news_count,news_sent_mean,news_sent_std,news_sent_pos_ratio,news_sent_neg_ratio
2018-01-01 00:00:00,0,,,,
2018-01-02 00:00:00,0,,,,
2018-01-03 00:00:00,0,,,,
2018-01-04 00:00:00,0,,,,
2018-01-05 00:00:00,0,,,,
2018-01-06 00:00:00,2,0.0,0.0,0.0,0.0
2018-01-07 00:00:00,0,,,,
2018-01-08 00:00:00,50,0.0624186147186147,0.1597963222290404,0.34,0.1
2018-01-09 00:00:00,50,0.0177219696969696,0.0985455279297547,0.14,0.08
2018-01-10 00:00:00,50,-0.00960101010101,0.1410145734037934,0.08,0.1
2018-01-11 00:00:00,50,0.0703651515151515,0.1930978223155608,0.24,0.16
2018-01-12 00:00:00,0,,,,
2018-01-13,250,0.06805238095238096,0.18615701257047396,0.316,0.096
2018-01-14,0,,,,
