date,log_return,vix,vix_jpm_corr_20
2018-04-26,0.000999591159609,16.24,-0.036050716860209775
2018-04-27,-0.0063781537407533,15.41,-0.04350695641540083
2018-04-30,-0.0056833959930661,15.93,0.14859479024091293
2018-05-01,0.0,15.49,0.079400780413692
2018-05-02,-0.0079372820953142,15.97,0.03305967791252936
2018-05-03,-0.0063208985317419,15.9,0.01916785889348024
2018-05-04,0.0110354901163322,14.77,0.181666768090794
2018-05-07,0.0086318258630438,14.75,0.011045133194306125
2018-05-08,0.0147034778167535,14.71,-0.30640079959639827
2018-05-09,0.0215694636633509,13.42,-0.30497332886927203
2018-05-10,0.0077295070822676,13.23,-0.6237670575707227
2018-05-11,-0.0037694543865707,12.65,-0.43052391508621984
2018-05-14,0.0003512469302006,12.93,-0.38100167873079127
2018-05-15,-0.0076676002504967,14.63,-0.3462182584558609
2018-05-16,0.0027388805388333,13.42,-0.339056123939935
2018-05-17,-0.0033583769965413,13.43,-0.4141776589890244
2018-05-18,-0.0163330865473768,13.42,-0.2647380413076888
2018-05-21,0.0091365737686622,13.08,-0.2876343801113323
2018-05-22,0.007639049405842,13.22,-0.28269560595138804
2018-05-23,-0.0046119815673249,12.58,-0.19431363057113116
2018-05-24,-0.0112641992007965,12.53,-0.10382349888938575
2018-05-25,-0.0051376921339742,13.22,-0.04099221562094005
2018-05-29,-0.0436839388615588,17.02,-0.38264781878719745
2018-05-30,0.0225882293739631,14.94,-0.30605388613275397
2018-05-31,-0.0124444399434581,15.43,-0.31938822726347604
2018-06-01,0.0129058009666358,13.46,-0.3164265677504842
2018-06-04,0.0004611482673376,12.74,-0.3526640268574797
2018-06-05,-0.0056405901088864,12.4,-0.3599658681487758
2018-06-06,0.0230991021850884,11.64,-0.5088502498726588
2018-06-07,0.003979024964098,12.13,-0.5389535607437205
2018-06-08,0.0027939272827339,12.18,-0.5409373521374147
2018-06-11,-0.0025232058083556,12.35,-0.53835633252891
2018-06-12,-0.005791347287876,12.34,-0.5167971166320268
2018-06-13,-0.0019985471768425,12.94,-0.5093005687576782
2018-06-14,-0.0177986349939494,12.12,-0.4423921226229351
2018-06-15,-0.0012040940648045,11.98,-0.4368550397490403
2018-06-18,0.0025916341791919,12.31,-0.4389946320867935
2018-06-19,-0.0058406507295419,13.35,-0.4488960533785027
2018-06-20,-9.29843322069454e-05,12.79,-0.46096270117169935
2018-06-21,-0.0002790048843953,14.64,-0.4406107631190994
2018-06-22,-0.0165060485707494,13.77,-0.4719356214587534
2018-06-25,-0.009119470439537,17.33,-0.4475325735343567
2018-06-26,0.0006677796575364,15.92,-0.13717238956794905
2018-06-27,-0.0155697522939736,17.91,-0.42550913778540533
2018-06-28,0.0162370863194065,16.85,-0.16769962619845252
2018-06-29,-0.0069813318505531,16.09,-0.19856533523865277
2018-07-02,0.0084098354980724,15.6,-0.1365529456145977
2018-07-03,-0.0140881145536787,16.14,-0.2106589650431925
2018-07-05,0.0010611104068031,14.97,-0.060974030512973384
2018-07-06,0.0032726951916938,13.37,-0.03325637208701927
2018-07-09,0.0304745831112657,12.69,-0.12324704628059105
2018-07-10,-0.0061711275788081,12.64,-0.10977878747983108
2018-07-11,-0.0021595238663403,13.63,-0.13175291334568262
2018-07-12,0.0043143942368819,12.58,-0.15649597970697363
2018-07-13,-0.0045964153903375,12.18,-0.24200152689791216
2018-07-16,0.0389096745349677,12.83,-0.32036267982243916
2018-07-17,-0.0007237199519794,12.06,-0.30273046175740914
2018-07-18,0.009278092048638,12.1,-0.34210004902156843
2018-07-19,-0.0148137475476128,12.87,-0.2911483585334648
2018-07-20,0.0125696821563547,12.86,-0.31098276576642514
2018-07-23,0.0184308293383504,12.62,-0.37132264429807804
2018-07-24,0.0070329960222667,12.41,-0.3267327081525966
2018-07-25,0.0089827491027217,12.29,-0.329524746277224
2018-07-26,-0.0028691929434191,12.14,-0.1533623485563764
2018-07-27,0.0102218492243468,13.03,-0.3002060591230436
2018-07-30,0.0060147973051178,14.26,-0.22293322973307475
2018-07-31,-0.0153663244553813,12.83,-0.2506587698199576
2018-08-01,0.0061576015208814,13.15,-0.04013038761436467
2018-08-02,0.0042276064863459,12.19,0.02297913724552133
2018-08-03,0.008060410644215,11.64,0.01704220293846006
2018-08-06,0.0002561803523681,11.27,0.04788569158491039
2018-08-07,0.0036647247730769,10.93,0.05889715001038993
2018-08-08,0.0020396029846147,10.85,0.13325416277223448
2018-08-09,-0.0077556105282492,11.27,0.19548070575937415
2018-08-10,-0.0098878755824575,13.16,0.11845213256301941
2018-08-13,-0.0160268215737266,14.78,-0.2020885897394516
2018-08-14,0.0066509390176538,13.31,-0.181345328465073
2018-08-15,-0.008320608547423,14.64,-0.24171909125768806
2018-08-16,0.0093667249360866,13.45,-0.20331818871332802
2018-08-17,0.0,12.64,-0.22212193236247232
2018-08-20,-0.0013078165689854,12.49,-0.24272196387693235
2018-08-21,0.0060885636466098,12.86,-0.22834920689573587
2018-08-22,-0.0030396480045525,12.25,-0.20784168561930128
2018-08-23,-0.0020896829545971,12.41,-0.2146778969223437
2018-08-24,-0.0004359007958825,11.99,-0.24875978668294596
2018-08-27,0.017546584409093,12.16,-0.33906937934711495
2018-08-28,-0.0048958654803584,12.5,-0.3386484898509867
2018-08-29,-0.0032772776206753,12.25,-0.3657459709120288
2018-08-30,-0.0049361433848134,13.53,-0.3801038557254542
2018-08-31,-0.0053096699579832,12.86,-0.3531599785241358
2018-09-04,0.0049623572862625,13.16,-0.32838775323191227
2018-09-05,-0.0048750858283373,13.91,-0.3171764589450019
2018-09-06,-0.0042852835703269,14.65,-0.31294859716170886
2018-09-07,0.0019262767535819,14.88,-0.3641898923551228
2018-09-10,-0.0053501859849804,14.16,-0.40062370964833194
2018-09-11,0.0063119346929921,13.22,-0.25690947346492793
2018-09-12,-0.0118677495042338,13.14,-0.25045932113338837
2018-09-13,0.0038835000263976,12.37,-0.18760270408327556
2018-09-14,-0.0001761959303297,12.07,-0.23763352958945344
2018-09-17,0.0029911168601395,13.68,-0.2084907578175236
2018-09-18,0.004032617019168,12.79,-0.2234244714736773
2018-09-19,0.028632518231045,11.75,-0.3751269743850243
2018-09-20,0.0085503166412019,11.8,-0.4340300845405678
2018-09-21,-0.0065967762908717,11.68,-0.36192044455965866
2018-09-24,-0.0096347251676099,12.2,-0.31643259335550156
2018-09-25,-0.0028312832606452,12.42,-0.2531661019537201
2018-09-26,-0.0118405946682768,12.89,-0.2533900549206442
2018-09-27,-0.0043565460556938,12.41,-0.25333777375661115
2018-09-28,-0.0147785940961187,12.12,-0.15652715514051366
2018-10-01,0.0058319507876617,12.0,-0.18568153684094063
2018-10-02,0.0041324189461866,12.05,-0.2136249294891921
2018-10-03,0.0093446381050927,11.61,-0.23935854745535778
2018-10-04,0.0019973086401844,14.22,-0.18422469995085214
2018-10-05,-0.0056548934893297,14.82,-0.2780826980534568
2018-10-08,0.0060885636466098,15.69,-0.11190382560049453
2018-10-09,-0.0069613925402871,15.95,-0.1963066682634758
2018-10-10,-0.0269939838283821,22.96,-0.5528336229885739
2018-10-11,-0.0304212894440863,24.98,-0.6919471210448888
2018-10-12,-0.010972771429031,21.31,-0.6848651962702343
2018-10-15,-0.0057199274522222,21.3,-0.6537017782100948
2018-10-16,0.0212140445305069,17.62,-0.5346316501914365
2018-10-17,0.0110781631935552,17.4,-0.4689734007564246
2018-10-18,-0.0159695023721429,20.06,-0.4720835711334397
2018-10-19,-0.0016666670524693,19.89,-0.47186192128762805
2018-10-22,-0.0144679800008231,19.64,-0.5241188890490435
2018-10-23,-0.0104910938123282,20.71,-0.5378309611114213
2018-10-24,-0.0187979065439486,25.23,-0.6190448579978375
2018-10-25,0.0150855611258446,24.22,-0.46693553587416714
2018-10-26,-0.0138277601763112,24.16,-0.5761780719324112
2018-10-29,0.0137323903798535,24.7,-0.4279041215651214
2018-10-30,0.0174904009597788,23.35,-0.3175593670571348
2018-10-31,0.0215101933284271,21.23,-0.22114542026937517
2018-11-01,-0.0003669724811824,19.34,-0.21398845284152607
2018-11-02,-0.0055208090169842,19.51,-0.2509070180912022
2018-11-05,0.0065296594716973,19.96,-0.2280181029283808
2018-11-06,0.0046641449042496,19.91,-0.2998283897874476
2018-11-07,0.0170078280998324,16.36,-0.34237819621053434
2018-11-08,0.0080407830703046,16.72,-0.23551703143509145
2018-11-09,-0.0097465786987183,17.36,-0.15979550588219255
2018-11-12,-0.0212503455947048,20.45,-0.14246163994833483
2018-11-13,0.0058570680846718,20.02,-0.07225459178688665
2018-11-14,-0.0208379289818678,21.25,-0.03733365989896407
2018-11-15,0.0252083265418673,19.98,-0.07562694981288132
2018-11-16,-0.000727074466275,18.14,-0.07092826482276955
2018-11-19,0.0076080432185364,20.1,-0.09993466822405497
2018-11-20,-0.0217082585146782,22.48,-0.1499812280484361
2018-11-21,-0.0074969114141782,20.8,-0.02888631147358786
2018-11-23,-0.0092398809413454,21.52,-0.13463707704734124
2018-11-26,0.024177918050212,18.9,-0.0869953025886151
2018-11-27,0.0042013031018308,19.02,-0.21394164773206414
2018-11-28,0.011057848557686,18.49,-0.39806426752389296
2018-11-29,-0.0079638429954756,18.79,-0.4963786214683374
2018-11-30,0.0102147780835451,18.07,-0.511810316498125
2018-12-03,0.0093989860790476,16.44,-0.5196177949570658
2018-12-04,-0.0456633755621511,20.74,-0.5345048740979029
2018-12-06,-0.0192078214808715,21.19,-0.5694359523240856
2018-12-07,-0.0182276727326405,23.23,-0.5500151506858868
2018-12-10,-0.0188620300056585,22.64,-0.5577260552670925
2018-12-11,-0.0098151781871746,21.76,-0.6141416657843151
2018-12-12,0.0064551592141974,21.46,-0.5856020041103281
2018-12-13,0.0009894133586408,20.65,-0.5815001884545384
2018-12-14,-0.0082419412984303,21.63,-0.5736500064974316
2018-12-17,-0.0128451339656936,24.52,-0.5875184549065353
2018-12-18,-0.0047582980186062,25.58,-0.5101280225859748
2018-12-19,-0.0127663481284806,25.58,-0.49633581684180544
2018-12-20,-0.0086714696355982,28.38,-0.42675365680051097
2018-12-21,-0.0239230798297662,30.11,-0.49028839390439233
2018-12-24,-0.0217925000142009,36.07,-0.5012754315411654
2018-12-26,0.0406222784637228,30.41,-0.13665801572148475
2018-12-27,0.011191826664301,29.96,-0.0390264743358161
2018-12-28,-0.002166401012355,28.34,0.02878826176057254
2018-12-31,0.0081255268355616,25.42,0.03253085302456772
2019-01-02,0.0171638804562657,23.22,0.0786423550386768
2019-01-03,-0.0224019143090044,25.45,0.17861771516089936
2019-01-04,0.0362021333212607,21.38,-0.06463306801714884
2019-01-07,0.0006949615568859,21.4,-0.12482354192418227
