date,open,high,low,close,volume,log_return,vol_5,vol_20,vol_60,ma_5,ma_20,log_volume,vix,rf_rate,vix_change,rf_daily
2018-03-29,108.5,110.78,107.78,109.97,13274639,0.01807637419862344,0.3864133050936053,0.27127126764607296,0.2550769746278467,108.69200000000001,113.39550000000001,16.40136593074888,19.97,0.0209,-2.900000000000002,8.293650793650792e-05
2018-04-02,109.96,110.73,106.08,107.85,18822525,-0.019466228487677747,0.3551599995231835,0.27859408582683826,0.258268326989527,108.85999999999999,113.122,16.750564848903167,23.62,0.0208,3.650000000000002,8.253968253968253e-05
2018-04-03,108.36,109.5,107.26,109.33,14050737,0.013629458611228109,0.2819443013221027,0.27729317313021873,0.2591285130218975,108.66399999999999,112.8355,16.4581854078843,21.1,0.0209,-2.5199999999999996,8.293650793650792e-05
2018-04-04,107.1,111.21,107.02,110.99,15302608,0.015069275717494716,0.24955559408644032,0.28411567947509375,0.260574883675753,109.228,112.62700000000002,16.54353382935277,20.06,0.0207,-1.0400000000000027,8.214285714285714e-05
2018-04-05,111.63,112.83,111.39,111.88,16627035,0.00798676116987086,0.24246543521858382,0.28611994679696406,0.2610306511918165,110.00399999999999,112.4845,16.626540543030224,18.94,0.0207,-1.1199999999999974,8.214285714285714e-05
2018-04-06,110.55,111.55,107.82,109.09,18906018,-0.025253638724093547,0.30539389427180696,0.2984154082287019,0.26611786197573145,109.828,112.202,16.754990842045718,21.49,0.0206,2.549999999999997,8.174603174603175e-05
2018-04-09,110.01,112.98,109.89,110.4,15974349,0.011936904233329538,0.2688901864265029,0.2810689606699123,0.2662998827746792,110.338,111.82000000000001,16.58649480622381,21.77,0.0208,0.28000000000000114,8.253968253968253e-05
2018-04-10,112.13,112.87,111.42,112.51,14003640,0.01893197273998561,0.2823162580409555,0.2919870457045668,0.26890341828117603,110.974,111.5625,16.45482785378539,20.47,0.0209,-1.3000000000000007,8.293650793650792e-05
2018-04-11,111.66,111.81,110.52,110.62,14503294,-0.016941202016448605,0.30609597285877876,0.2946683197602264,0.26903804599452835,110.9,111.28100000000002,16.48988635400485,20.24,0.0209,-0.23000000000000043,8.293650793650792e-05
2018-04-12,111.56,114.39,111.5,113.37,16435523,0.02455590146297539,0.3544004693465289,0.30766353728442486,0.27371549538912243,111.19800000000001,111.202,16.61495558690453,18.49,0.021099999999999997,-1.75,8.373015873015872e-05
2018-04-13,115.02,115.15,109.05,110.3,39152760,-0.027452879770050564,0.36547854766769894,0.32159387180228743,0.2791596126991278,111.44000000000001,110.955,17.482981476000504,17.41,0.0212,-1.0799999999999983,8.412698412698413e-05
2018-04-16,110.94,111.47,109.79,110.21,16580538,-0.0008162895560062907,0.3551555072507157,0.3213083664536926,0.27910013612948814,111.402,110.6935,16.623740155878387,16.56,0.0212,-0.8500000000000014,8.412698412698413e-05
2018-04-17,111.37,111.92,109.99,110.21,15501350,0.0,0.31339613018081075,0.32070776976357107,0.27907753494842163,110.94200000000001,110.47749999999999,16.556437674870963,15.25,0.0216,-1.3099999999999987,8.571428571428571e-05
2018-04-18,110.53,111.07,108.89,109.32,16081436,-0.008108275643583277,0.29646611288364566,0.3212417300338937,0.27837197920024603,110.68199999999999,110.2115,16.593176121210362,15.6,0.0217,0.34999999999999964,8.611111111111112e-05
2018-04-19,109.53,111.87,109.5,111.72,17910955,0.02171638001710881,0.280476417133499,0.33236521021318854,0.28215047603811005,110.352,110.0605,16.700923094781707,15.96,0.022099999999999998,0.3600000000000012,8.769841269841269e-05
2018-04-20,112.3,112.74,110.88,111.47,15584384,-0.0022402446754438837,0.1811300118110573,0.29455380616527965,0.2808529353836514,110.58600000000001,110.1365,16.56177994521796,16.88,0.0222,0.9199999999999982,8.80952380952381e-05
2018-04-23,111.57,111.95,110.63,110.93,11285831,-0.004856124650963801,0.18740416256042758,0.27676398956802867,0.2809804394615823,110.72999999999999,110.33250000000001,16.23905860309466,16.34,0.0225,-0.5399999999999991,8.928571428571429e-05
2018-04-24,111.75,112.9,109.59,110.41,16453112,-0.004698662299522694,0.19236437527317354,0.2559570022334064,0.28081119997156573,110.77000000000001,110.3375,16.61602519661481,18.02,0.0225,1.6799999999999997,8.928571428571429e-05
2018-04-25,110.27,110.53,108.6,109.99,13546110,-0.0038112568820204123,0.18261519870822654,0.2458298516021873,0.28087584435584073,110.904,110.42850000000001,16.421609979202387,17.84,0.0226,-0.17999999999999972,8.968253968253968e-05
2018-04-26,109.97,110.82,109.34,110.1,10299488,0.0009995911596090788,0.03850329916098343,0.24566530324777336,0.28033890471367484,110.58,110.5335,16.14760474322648,16.24,0.0225,-1.6000000000000014,8.928571428571429e-05
2018-04-27,109.55,110.16,109.13,109.4,9383967,-0.006378153740753319,0.04461345857192515,0.23829650111358786,0.2803264594624824,110.16600000000001,110.505,16.054513152685224,15.41,0.022400000000000003,-0.8299999999999983,8.88888888888889e-05
2018-04-30,109.75,110.3,108.75,108.78,13744860,-0.005683395993066174,0.04626298726023035,0.22837861886030544,0.2795007999907263,109.73599999999999,110.55149999999999,16.436175494007603,15.93,0.022400000000000003,0.5199999999999996,8.88888888888889e-05
2018-05-01,108.45,108.97,107.54,108.78,10503353,0.0,0.052807612242929375,0.2229910812621473,0.27598674154942654,109.41000000000001,110.524,16.16720509748505,15.49,0.0226,-0.4399999999999995,8.968253968253968e-05
2018-05-02,108.11,109.49,107.73,107.92,12162086,-0.007937282095314203,0.0638873683631646,0.2168959791550518,0.2574730184508513,108.99600000000001,110.37049999999999,16.313833965842583,15.97,0.022400000000000003,0.4800000000000004,8.88888888888889e-05
2018-05-03,107.59,107.77,105.18,107.24,15379091,-0.0063208985317419345,0.048534473832846495,0.21461523980936692,0.24998223330233024,108.424,110.1385,16.548519417564318,15.9,0.022400000000000003,-0.07000000000000028,8.88888888888889e-05
2018-05-04,106.43,108.74,105.98,108.43,11967906,0.011035490116332215,0.12326367839026724,0.20095217798309964,0.25068319148929813,108.22999999999999,110.1055,16.297739124887475,14.77,0.022400000000000003,-1.1300000000000008,8.88888888888889e-05
2018-05-07,108.76,109.68,108.36,109.37,9356721,0.008631825863043882,0.1359549694346367,0.198610891278624,0.23351382170830096,108.348,110.054,16.05160546656439,14.75,0.0225,-0.019999999999999574,8.928571428571429e-05
2018-05-08,109.53,111.34,109.28,110.99,12543228,0.01470347781675356,0.16545576282340793,0.19363748498167718,0.2319086558734591,108.79,109.978,16.34469147631111,14.71,0.0226,-0.03999999999999915,8.968253968253968e-05
2018-05-09,111.44,113.64,111.03,113.41,11368094,0.021569463663350982,0.16368112698851697,0.19892387948591458,0.2339967530828428,109.888,110.11749999999999,16.24632121754966,13.42,0.0227,-1.290000000000001,9.007936507936508e-05
2018-05-10,113.19,114.44,112.75,114.29,9159709,0.007729507082267611,0.08934329671106105,0.18092448730940539,0.23418859631305483,111.298,110.1635,16.03032496758673,13.23,0.0227,-0.1899999999999995,9.007936507936508e-05
2018-05-11,114.49,114.73,113.67,113.86,10253045,-0.003769454386570792,0.14898848907207643,0.1493330425591539,0.22953051237466188,112.38399999999999,110.34150000000002,16.143085292601924,12.65,0.022799999999999997,-0.5800000000000001,9.047619047619046e-05
