date,open,high,low,close,volume,log_return,vol_5,vol_20,vol_60,ma_5,ma_20,log_volume,vix,rf_rate,vix_change,rf_daily,fomc_day,fomc_window
2018-03-29,108.5,110.78,107.78,109.97,13274639,0.0180763741986234,0.3864133050936053,0.2712712676460729,0.2550769746278467,108.692,113.3955,16.40136593074888,19.97,0.0209,-2.900000000000002,8.293650793650792e-05,0,0
2018-04-02,109.96,110.73,106.08,107.85,18822525,-0.0194662284876777,0.3551599995231835,0.2785940858268382,0.258268326989527,108.86,113.122,16.750564848903167,23.62,0.0208,3.650000000000002,8.253968253968253e-05,0,0
2018-04-03,108.36,109.5,107.26,109.33,14050737,0.0136294586112281,0.2819443013221027,0.2772931731302187,0.2591285130218975,108.664,112.8355,16.4581854078843,21.1,0.0209,-2.52,8.293650793650792e-05,0,0
2018-04-04,107.1,111.21,107.02,110.99,15302608,0.0150692757174947,0.2495555940864403,0.2841156794750937,0.260574883675753,109.228,112.62700000000002,16.54353382935277,20.06,0.0207,-1.0400000000000027,8.214285714285714e-05,0,0
2018-04-05,111.63,112.83,111.39,111.88,16627035,0.0079867611698708,0.2424654352185838,0.286119946796964,0.2610306511918165,110.004,112.4845,16.626540543030224,18.94,0.0207,-1.1199999999999974,8.214285714285714e-05,0,0
2018-04-06,110.55,111.55,107.82,109.09,18906018,-0.0252536387240935,0.3053938942718069,0.2984154082287019,0.2661178619757314,109.828,112.202,16.754990842045718,21.49,0.0206,2.549999999999997,8.174603174603175e-05,0,0
2018-04-09,110.01,112.98,109.89,110.4,15974349,0.0119369042333295,0.2688901864265029,0.2810689606699123,0.2662998827746792,110.338,111.82,16.58649480622381,21.77,0.0208,0.2800000000000011,8.253968253968253e-05,0,0
2018-04-10,112.13,112.87,111.42,112.51,14003640,0.0189319727399856,0.2823162580409555,0.2919870457045668,0.268903418281176,110.974,111.5625,16.45482785378539,20.47,0.0209,-1.3000000000000007,8.293650793650792e-05,0,0
2018-04-11,111.66,111.81,110.52,110.62,14503294,-0.0169412020164486,0.3060959728587787,0.2946683197602264,0.2690380459945283,110.9,111.28100000000002,16.48988635400485,20.24,0.0209,-0.2300000000000004,8.293650793650792e-05,0,0
2018-04-12,111.56,114.39,111.5,113.37,16435523,0.0245559014629753,0.3544004693465289,0.3076635372844248,0.2737154953891224,111.198,111.202,16.61495558690453,18.49,0.0210999999999999,-1.75,8.373015873015872e-05,0,0
2018-04-13,115.02,115.15,109.05,110.3,39152760,-0.0274528797700505,0.3654785476676989,0.3215938718022874,0.2791596126991278,111.44,110.955,17.482981476000504,17.41,0.0212,-1.0799999999999983,8.412698412698413e-05,0,0
2018-04-16,110.94,111.47,109.79,110.21,16580538,-0.0008162895560062,0.3551555072507157,0.3213083664536926,0.2791001361294881,111.402,110.6935,16.623740155878387,16.56,0.0212,-0.8500000000000014,8.412698412698413e-05,0,0
2018-04-17,111.37,111.92,109.99,110.21,15501350,0.0,0.3133961301808107,0.320707769763571,0.2790775349484216,110.942,110.4775,16.556437674870963,15.25,0.0216,-1.3099999999999987,8.571428571428571e-05,0,0
2018-04-18,110.53,111.07,108.89,109.32,16081436,-0.0081082756435832,0.2964661128836456,0.3212417300338937,0.278371979200246,110.682,110.2115,16.593176121210362,15.6,0.0217,0.3499999999999996,8.611111111111112e-05,0,0
2018-04-19,109.53,111.87,109.5,111.72,17910955,0.0217163800171088,0.280476417133499,0.3323652102131885,0.28215047603811,110.352,110.0605,16.700923094781707,15.96,0.0220999999999999,0.3600000000000012,8.769841269841269e-05,0,0
2018-04-20,112.3,112.74,110.88,111.47,15584384,-0.0022402446754438,0.1811300118110573,0.2945538061652796,0.2808529353836514,110.586,110.1365,16.56177994521796,16.88,0.0222,0.9199999999999982,8.80952380952381e-05,0,0
2018-04-23,111.57,111.95,110.63,110.93,11285831,-0.0048561246509638,0.1874041625604275,0.2767639895680286,0.2809804394615823,110.73,110.3325,16.23905860309466,16.34,0.0225,-0.5399999999999991,8.928571428571429e-05,0,0
2018-04-24,111.75,112.9,109.59,110.41,16453112,-0.0046986622995226,0.1923643752731735,0.2559570022334064,0.2808111999715657,110.77,110.3375,16.61602519661481,18.02,0.0225,1.6799999999999995,8.928571428571429e-05,0,0
2018-04-25,110.27,110.53,108.6,109.99,13546110,-0.0038112568820204,0.1826151987082265,0.2458298516021873,0.2808758443558407,110.904,110.4285,16.421609979202387,17.84,0.0226,-0.1799999999999997,8.968253968253968e-05,0,0
2018-04-26,109.97,110.82,109.34,110.1,10299488,0.000999591159609,0.0385032991609834,0.2456653032477733,0.2803389047136748,110.58,110.5335,16.14760474322648,16.24,0.0225,-1.6000000000000014,8.928571428571429e-05,0,0
2018-04-27,109.55,110.16,109.13,109.4,9383967,-0.0063781537407533,0.0446134585719251,0.2382965011135878,0.2803264594624824,110.166,110.505,16.054513152685224,15.41,0.0224,-0.8299999999999983,8.88888888888889e-05,0,0
2018-04-30,109.75,110.3,108.75,108.78,13744860,-0.0056833959930661,0.0462629872602303,0.2283786188603054,0.2795007999907263,109.736,110.5515,16.436175494007603,15.93,0.0224,0.5199999999999996,8.88888888888889e-05,0,0
2018-05-01,108.45,108.97,107.54,108.78,10503353,0.0,0.0528076122429293,0.2229910812621473,0.2759867415494265,109.41,110.524,16.16720509748505,15.49,0.0226,-0.4399999999999995,8.968253968253968e-05,0,0
2018-05-02,108.11,109.49,107.73,107.92,12162086,-0.0079372820953142,0.0638873683631646,0.2168959791550518,0.2574730184508513,108.996,110.3705,16.313833965842583,15.97,0.0224,0.4800000000000004,8.88888888888889e-05,0,0
2018-05-03,107.59,107.77,105.18,107.24,15379091,-0.0063208985317419,0.0485344738328464,0.2146152398093669,0.2499822333023302,108.424,110.1385,16.548519417564318,15.9,0.0224,-0.0700000000000002,8.88888888888889e-05,0,0
2018-05-04,106.43,108.74,105.98,108.43,11967906,0.0110354901163322,0.1232636783902672,0.2009521779830996,0.2506831914892981,108.23,110.1055,16.297739124887475,14.77,0.0224,-1.1300000000000008,8.88888888888889e-05,0,0
2018-05-07,108.76,109.68,108.36,109.37,9356721,0.0086318258630438,0.1359549694346367,0.198610891278624,0.2335138217083009,108.348,110.054,16.05160546656439,14.75,0.0225,-0.0199999999999995,8.928571428571429e-05,0,0
2018-05-08,109.53,111.34,109.28,110.99,12543228,0.0147034778167535,0.1654557628234079,0.1936374849816771,0.2319086558734591,108.79,109.978,16.34469147631111,14.71,0.0226,-0.0399999999999991,8.968253968253968e-05,0,0
2018-05-09,111.44,113.64,111.03,113.41,11368094,0.0215694636633509,0.1636811269885169,0.1989238794859145,0.2339967530828428,109.888,110.1175,16.24632121754966,13.42,0.0227,-1.290000000000001,9.007936507936508e-05,0,0
2018-05-10,113.19,114.44,112.75,114.29,9159709,0.0077295070822676,0.089343296711061,0.1809244873094053,0.2341885963130548,111.298,110.1635,16.03032496758673,13.23,0.0227,-0.1899999999999995,9.007936507936508e-05,0,0
2018-05-11,114.49,114.73,113.67,113.86,10253045,-0.0037694543865707,0.1489884890720764,0.1493330425591539,0.2295305123746618,112.384,110.34150000000002,16.143085292601924,12.65,0.0227999999999999,-0.5800000000000001,9.047619047619046e-05,0,0
2018-05-14,114.11,114.7,113.74,113.9,8710654,0.0003512469302006,0.1638414059042551,0.1491410823708562,0.2293559147977221,113.29,110.526,15.980057432117787,12.93,0.0227999999999999,0.2799999999999993,9.047619047619046e-05,0,0
2018-05-15,113.91,113.91,112.57,113.03,11536212,-0.0076676002504967,0.1830337357473613,0.1527048217848353,0.2294170814567561,113.698,110.667,16.261001515591822,14.63,0.0231,1.700000000000001,9.166666666666668e-05,0,0
2018-05-16,112.89,113.69,112.63,113.34,7571089,0.0027388805388333,0.0940136683153909,0.1486767054726958,0.2294964484109291,113.684,110.868,15.83984747239873,13.42,0.0232,-1.2100000000000009,9.206349206349206e-05,0,0
2018-05-17,113.2,113.41,112.2,112.96,8617204,-0.0033583769965413,0.063746372751242,0.129551077771603,0.2294022425018458,113.418,110.93000000000002,15.969271228074204,13.43,0.0232,0.0099999999999997,9.206349206349206e-05,0,0
2018-05-18,112.75,112.8,110.84,111.13,11806349,-0.0163330865473768,0.1194995934871114,0.1425823842680713,0.2317223026834432,112.872,110.91299999999998,16.284147995585894,13.42,0.0232,-0.0099999999999997,9.206349206349206e-05,0,0
2018-05-21,112.05,112.54,111.92,112.15,9441931,0.0091365737686622,0.1546992009240786,0.1450895709126537,0.2286290656054958,112.522,110.974,16.06067107228789,13.08,0.0235,-0.3399999999999998,9.325396825396824e-05,0,0
2018-05-22,112.35,114.29,112.29,113.01,11507550,0.007639049405842,0.1640873771225134,0.1457813777232765,0.2276733835834343,112.518,111.104,16.25851389965649,13.22,0.0233999999999999,0.1400000000000005,9.285714285714285e-05,0,0
